,persnr,time,workSampleTest,b5cons,b5extra,b5open,b5emos,b5agree,riskAversion,age,experience,bonus,performance
0,0,0,99.0,0.6,0.2,0.9,0.2,1.2,0.5,25,0,0,262.2078128819177
1,0,1,99.0,0.6,0.2,0.9,0.2,1.2,0.5,26,1,0,186.93510033672425
2,0,2,99.0,0.6,0.2,0.9,0.2,1.2,0.5,27,2,0,-19.209372842934982
3,0,3,99.0,0.6,0.2,0.9,0.2,1.2,0.5,28,3,0,-172.6093344299379
4,1,0,117.0,0.2,-0.9,0.5,-0.0,0.9,1.1,33,6,0,188.58380993894633
5,1,1,117.0,0.2,-0.9,0.5,-0.0,0.9,1.1,34,7,0,31.591326127283864
6,1,2,117.0,0.2,-0.9,0.5,-0.0,0.9,1.1,35,8,0,102.4628084078945
7,1,3,117.0,0.2,-0.9,0.5,-0.0,0.9,1.1,36,9,0,399.38539913703187
8,2,0,107.0,1.7,0.3,-1.7,0.3,-0.6,0.8,54,27,0,169.13381154870038
9,2,1,107.0,1.7,0.3,-1.7,0.3,-0.6,0.8,55,28,0,124.80987553340265
10,2,2,107.0,1.7,0.3,-1.7,0.3,-0.6,0.8,56,29,0,155.09842365359611
11,2,3,107.0,1.7,0.3,-1.7,0.3,-0.6,0.8,57,30,0,143.3777487274654
12,3,0,125.0,0.6,1.0,-0.8,-1.3,-2.0,1.7,33,13,0,356.31122226145
13,3,1,125.0,0.6,1.0,-0.8,-1.3,-2.0,1.7,34,14,1,309.0486037502229
14,3,2,125.0,0.6,1.0,-0.8,-1.3,-2.0,1.7,35,15,1,265.04930797547286
15,3,3,125.0,0.6,1.0,-0.8,-1.3,-2.0,1.7,36,16,1,164.10066246712526
16,4,0,81.0,-1.2,0.3,-0.2,-0.1,-1.3,-1.5,34,7,0,-74.74763652567178
17,4,1,81.0,-1.2,0.3,-0.2,-0.1,-1.3,-1.5,35,8,0,-16.869997507525916
18,4,2,81.0,-1.2,0.3,-0.2,-0.1,-1.3,-1.5,36,9,0,-38.62683016827521
19,4,3,81.0,-1.2,0.3,-0.2,-0.1,-1.3,-1.5,37,10,0,-243.46274422588021
20,5,0,96.0,0.9,-1.8,-1.0,-0.8,0.2,0.2,31,8,0,303.41848091395116
21,5,1,96.0,0.9,-1.8,-1.0,-0.8,0.2,0.2,32,9,0,90.27132421104727
22,5,2,96.0,0.9,-1.8,-1.0,-0.8,0.2,0.2,33,10,0,289.03980425821374
23,5,3,96.0,0.9,-1.8,-1.0,-0.8,0.2,0.2,34,11,0,44.57551848927632
24,6,0,88.0,-1.1,0.7,1.2,0.3,-0.6,-0.9,48,20,0,166.0392303285471
25,6,1,88.0,-1.1,0.7,1.2,0.3,-0.6,-0.9,49,21,0,1.129371344188769
26,6,2,88.0,-1.1,0.7,1.2,0.3,-0.6,-0.9,50,22,0,141.6299511082864
27,6,3,88.0,-1.1,0.7,1.2,0.3,-0.6,-0.9,51,23,0,148.54646895674563
28,7,0,86.0,0.1,-2.1,-0.9,-0.7,-0.1,0.4,36,16,0,264.010166119724
29,7,1,86.0,0.1,-2.1,-0.9,-0.7,-0.1,0.4,37,17,0,133.6593624472046
30,7,2,86.0,0.1,-2.1,-0.9,-0.7,-0.1,0.4,38,18,0,48.7208436152406
31,7,3,86.0,0.1,-2.1,-0.9,-0.7,-0.1,0.4,39,19,0,50.67164003311672
32,8,0,101.0,0.1,-0.5,-1.2,-1.3,0.7,-0.2,64,36,0,-97.17122424119316
33,8,1,101.0,0.1,-0.5,-1.2,-1.3,0.7,-0.2,65,37,0,-19.524913671712795
34,8,2,101.0,0.1,-0.5,-1.2,-1.3,0.7,-0.2,66,38,0,106.22492288827002
35,8,3,101.0,0.1,-0.5,-1.2,-1.3,0.7,-0.2,67,39,0,-15.019959958522186
36,9,0,85.0,-0.8,0.4,0.1,1.1,-0.7,2.9,64,42,0,96.9945877616607
37,9,1,85.0,-0.8,0.4,0.1,1.1,-0.7,2.9,65,43,0,61.615697643581136
38,9,2,85.0,-0.8,0.4,0.1,1.1,-0.7,2.9,66,44,0,36.6306540628206
39,9,3,85.0,-0.8,0.4,0.1,1.1,-0.7,2.9,67,45,0,129.68349503411267
40,10,0,99.0,0.8,0.3,-0.3,0.8,0.3,-0.4,22,0,0,45.180982265268824
41,10,1,99.0,0.8,0.3,-0.3,0.8,0.3,-0.4,23,1,0,81.1427265777051
42,10,2,99.0,0.8,0.3,-0.3,0.8,0.3,-0.4,24,2,0,153.25762215770888
43,10,3,99.0,0.8,0.3,-0.3,0.8,0.3,-0.4,25,3,0,169.28476837416466
44,11,0,124.0,-0.4,1.0,0.9,0.3,-1.3,-1.9,64,43,0,257.91639014615953
45,11,1,124.0,-0.4,1.0,0.9,0.3,-1.3,-1.9,65,44,0,220.6841815616495
46,11,2,124.0,-0.4,1.0,0.9,0.3,-1.3,-1.9,66,45,1,119.05156748970202
47,11,3,124.0,-0.4,1.0,0.9,0.3,-1.3,-1.9,67,46,1,188.19268284849045
48,12,0,114.0,-0.3,-0.4,0.4,-2.1,-0.6,-1.2,53,24,0,109.11439196475351
49,12,1,114.0,-0.3,-0.4,0.4,-2.1,-0.6,-1.2,54,25,1,216.22708130418965
50,12,2,114.0,-0.3,-0.4,0.4,-2.1,-0.6,-1.2,55,26,1,180.37781441304858
51,12,3,114.0,-0.3,-0.4,0.4,-2.1,-0.6,-1.2,56,27,1,307.8784326089522
52,13,0,92.0,0.0,0.8,0.7,0.8,-1.5,1.0,39,18,0,174.20996782593784
53,13,1,92.0,0.0,0.8,0.7,0.8,-1.5,1.0,40,19,0,79.7632125946553
54,13,2,92.0,0.0,0.8,0.7,0.8,-1.5,1.0,41,20,0,48.80781409274368
55,13,3,92.0,0.0,0.8,0.7,0.8,-1.5,1.0,42,21,0,113.95717252781294
56,14,0,97.0,2.6,0.9,0.3,-0.2,1.1,-0.2,38,15,0,-78.96391824995857
57,14,1,97.0,2.6,0.9,0.3,-0.2,1.1,-0.2,39,16,0,37.224084838047986
58,14,2,97.0,2.6,0.9,0.3,-0.2,1.1,-0.2,40,17,0,252.42492700635333
59,14,3,97.0,2.6,0.9,0.3,-0.2,1.1,-0.2,41,18,0,222.80900871034274
60,15,0,115.0,0.9,-0.4,-0.1,0.3,0.1,-0.1,58,38,0,249.90174233632854
61,15,1,115.0,0.9,-0.4,-0.1,0.3,0.1,-0.1,59,39,0,403.08430327424264
62,15,2,115.0,0.9,-0.4,-0.1,0.3,0.1,-0.1,60,40,0,241.55280250781686
63,15,3,115.0,0.9,-0.4,-0.1,0.3,0.1,-0.1,61,41,1,252.3584200197832
64,16,0,101.0,0.6,1.3,3.1,0.2,-0.1,0.5,25,0,0,202.3378252492206
65,16,1,101.0,0.6,1.3,3.1,0.2,-0.1,0.5,26,1,0,139.08688408459813
66,16,2,101.0,0.6,1.3,3.1,0.2,-0.1,0.5,27,2,0,182.54668649495832
67,16,3,101.0,0.6,1.3,3.1,0.2,-0.1,0.5,28,3,0,-98.72099440848318
68,17,0,99.0,-1.4,2.0,0.1,-0.2,0.0,0.8,26,6,0,166.83222657151055
69,17,1,99.0,-1.4,2.0,0.1,-0.2,0.0,0.8,27,7,0,126.11019936489751
70,17,2,99.0,-1.4,2.0,0.1,-0.2,0.0,0.8,28,8,0,30.55595494778521
71,17,3,99.0,-1.4,2.0,0.1,-0.2,0.0,0.8,29,9,0,128.9580404007585
72,18,0,107.0,1.5,1.1,0.5,-1.6,1.0,0.6,24,0,0,530.6703182051508
73,18,1,107.0,1.5,1.1,0.5,-1.6,1.0,0.6,25,1,0,299.345163187419
74,18,2,107.0,1.5,1.1,0.5,-1.6,1.0,0.6,26,2,0,224.3050602713577
75,18,3,107.0,1.5,1.1,0.5,-1.6,1.0,0.6,27,3,1,321.7340204845839
