personid,age,tenure,wage,children,bedroom,commute,men,married,volunteer,high_educ,z_performance
3224,30.0,113.0,3.8248822999999996,0,0,40.0,1.0,0.0,0.0,0.0,
3906,33.0,96.0,2.7375467,1,1,180.0,0.0,1.0,1.0,0.0,0.08457301
4118,31.0,94.0,3.4603800000000002,1,0,180.0,0.0,1.0,0.0,1.0,
4122,30.0,94.0,4.096246,0,0,180.0,0.0,0.0,0.0,0.0,0.0004498826
4164,28.0,25.0,7.2532,0,1,65.0,0.0,1.0,1.0,1.0,
4252,29.0,94.0,4.0608325,0,0,140.0,0.0,0.0,0.0,1.0,
4448,35.0,92.0,4.269296,1,1,100.0,0.0,1.0,1.0,0.0,0.45590964
4942,27.0,82.0,5.2953954,0,1,160.0,0.0,1.0,1.0,0.0,0.9185098
4944,25.0,82.0,4.477011,0,1,180.0,0.0,0.0,0.0,1.0,
4992,25.0,82.0,3.8015377999999997,0,1,240.0,0.0,0.0,1.0,0.0,
5018,29.0,82.0,1.3875899,1,1,240.0,0.0,1.0,1.0,0.0,-0.3774435
5560,29.0,79.0,4.420188,1,1,50.0,1.0,1.0,0.0,1.0,0.91354454
5606,26.0,79.0,3.0919712,0,0,120.0,0.0,0.0,0.0,0.0,
5614,32.0,79.0,3.8260087999999994,0,1,80.0,1.0,1.0,0.0,0.0,0.3699803
5742,26.0,78.0,6.733743,0,1,60.0,0.0,1.0,0.0,0.0,
5784,31.0,78.0,2.9404178,0,1,160.0,0.0,0.0,0.0,1.0,-1.8467852999999999
5906,23.0,78.0,4.593881,1,1,180.0,0.0,1.0,1.0,0.0,
5930,23.0,78.0,4.410223,0,0,50.0,0.0,0.0,0.0,0.0,
6162,31.0,77.0,3.8107321000000014,0,1,120.0,0.0,0.0,0.0,0.0,0.5602625
6278,32.0,77.0,2.918789,1,1,170.0,0.0,1.0,1.0,1.0,-0.04005283
6284,23.0,77.0,3.990891200000001,0,0,60.0,0.0,0.0,1.0,1.0,
6300,33.0,76.0,3.3604422,0,1,80.0,1.0,0.0,0.0,1.0,0.29836714
6342,30.0,76.0,3.923372,1,1,120.0,0.0,1.0,0.0,0.0,-0.023077782
6344,27.0,76.0,4.516857,1,1,120.0,0.0,1.0,0.0,0.0,0.42475712
6362,29.0,82.0,4.8947080000000005,1,1,200.0,0.0,1.0,1.0,0.0,0.655319
6364,26.0,82.0,6.2207456,1,1,180.0,0.0,1.0,1.0,0.0,1.4090424
6856,31.0,73.0,2.121591,0,1,180.0,0.0,0.0,0.0,1.0,
6898,24.0,73.0,4.639574,0,0,120.0,1.0,0.0,0.0,0.0,
6904,23.0,73.0,3.744671,0,0,45.0,0.0,0.0,0.0,0.0,
6924,22.0,73.0,4.944528599999999,0,1,110.0,0.0,0.0,0.0,0.0,0.3257299
7056,27.0,72.0,5.06307,1,0,80.0,1.0,1.0,1.0,1.0,
7068,28.0,72.0,4.341824,0,1,40.0,0.0,1.0,1.0,1.0,0.27069876
7076,30.0,72.0,2.66415,1,1,120.0,0.0,1.0,1.0,1.0,0.0015328283999999999
7132,22.0,72.0,3.6314757000000006,0,1,50.0,0.0,0.0,0.0,0.0,-0.1943591
7184,27.0,71.0,4.2302675,0,1,120.0,0.0,1.0,0.0,0.0,1.5682608
7240,23.0,71.0,4.35887,0,0,40.0,0.0,0.0,0.0,1.0,
7324,27.0,71.0,4.6434964999999995,0,0,90.0,1.0,0.0,0.0,0.0,
7454,24.0,70.0,2.0513732,0,1,85.0,0.0,1.0,0.0,1.0,-0.22397614
7456,25.0,70.0,4.9626255,0,0,120.0,0.0,0.0,0.0,0.0,
7488,25.0,70.0,3.072209,0,1,240.0,0.0,0.0,0.0,0.0,0.45098305
7538,24.0,70.0,3.3498802000000003,0,0,120.0,0.0,0.0,0.0,1.0,
7660,25.0,70.0,3.4954400000000003,0,1,240.0,0.0,0.0,1.0,0.0,
7720,25.0,70.0,3.0483877999999995,0,1,180.0,0.0,0.0,1.0,1.0,-0.68709767
7820,28.0,70.0,3.5054532999999997,1,1,180.0,1.0,1.0,0.0,1.0,
7856,22.0,70.0,5.1482167,0,0,40.0,1.0,0.0,0.0,0.0,
7872,22.0,70.0,3.6174922,0,0,60.0,0.0,0.0,0.0,0.0,
7896,22.0,70.0,3.8224519999999997,0,0,60.0,0.0,0.0,0.0,0.0,
7978,29.0,69.0,4.3938274,1,1,180.0,0.0,1.0,1.0,1.0,
8440,24.0,67.0,1.5288833,0,1,80.0,0.0,0.0,0.0,0.0,
8522,30.0,66.0,4.192242,1,1,120.0,0.0,1.0,1.0,0.0,0.23950015
8830,22.0,66.0,5.8753214000000025,0,0,30.0,0.0,0.0,0.0,0.0,
8834,22.0,66.0,3.6427165999999995,0,0,60.0,0.0,0.0,1.0,0.0,0.32067874
8854,22.0,66.0,4.259261,0,1,60.0,0.0,0.0,0.0,0.0,0.6507793000000001
8858,23.0,25.0,4.3171253,0,1,90.0,0.0,0.0,0.0,1.0,-2.1024585
8980,25.0,65.0,1.9734234,0,1,120.0,0.0,0.0,1.0,0.0,-0.031765454
9070,23.0,66.0,4.0421543,0,1,60.0,0.0,0.0,0.0,1.0,0.8298088
9072,23.0,66.0,4.316552,0,0,40.0,0.0,0.0,0.0,0.0,
9086,22.0,66.0,3.2136621,0,0,100.0,0.0,0.0,1.0,0.0,
9106,23.0,25.0,3.6806667,0,1,20.0,0.0,0.0,0.0,1.0,-1.3841063
9426,23.0,68.0,3.2903333,0,1,30.0,0.0,0.0,1.0,0.0,
9432,22.0,65.0,4.927182,0,0,40.0,0.0,0.0,0.0,0.0,
9460,23.0,65.0,5.875642299999999,0,1,40.0,0.0,0.0,0.0,0.0,1.2603998
9666,26.0,64.0,2.7383602000000002,0,0,50.0,1.0,1.0,0.0,1.0,
9710,33.0,64.0,3.9029267,0,1,120.0,0.0,1.0,1.0,0.0,-0.7188639
