personid,year_week,treatment,commute120,calllength
42632,201050,0,1,27952.0
31136,201050,0,1,54660.023
7720,201050,0,1,74899.016
40346,201050,0,0,68876.016
15444,201050,0,0,80667.03
29172,201050,0,1,97110.0
8834,201050,0,0,85383.98
28190,201050,0,0,69624.99
16334,201050,0,1,92361.016
36288,201050,0,0,90263.04
28224,201050,0,0,75574.984
39144,201050,0,1,95931.97
38842,201050,0,1,17945.0
40008,201050,0,0,62032.027
40162,201050,0,0,72308.01
41332,201050,0,0,26092.994
40174,201050,0,0,80053.016
33354,201050,0,1,53081.023
37292,201050,0,1,53756.02
43570,201050,0,1,56916.027
16422,201050,0,0,84099.99
13980,201050,0,0,85118.04
43524,201050,0,1,73896.984
32804,201050,0,0,87787.984
45254,201050,0,1,60390.027
34890,201050,0,1,71002.016
14220,201050,0,1,63536.027
37276,201050,0,0,81345.0
39458,201050,0,1,93458.02
45442,201050,0,0,47356.98
33128,201050,0,0,62079.02
35006,201050,0,0,83855.01
39478,201050,0,1,98689.98
37798,201050,0,0,47678.0
31888,201050,0,1,82903.99
35822,201050,0,0,46230.01
42634,201050,0,0,80726.98
39164,201050,0,0,95916.96
38862,201050,0,0,71313.02
44794,201050,0,0,56004.99
19470,201050,0,0,77573.984
44282,201050,0,1,77506.03
38552,201050,0,0,42678.004
28484,201050,0,0,93370.984
42096,201050,0,0,24205.994
27704,201050,0,0,64112.992
32320,201050,0,0,101127.03
33278,201050,0,1,77495.98
40456,201050,0,0,65953.01
44800,201050,0,0,65424.973
42152,201050,0,0,88178.99
25864,201050,0,0,94282.96
16594,201050,0,1,97447.97
16424,201050,0,1,72201.0
36314,201050,0,0,94882.984
31150,201050,0,0,102223.984
39466,201050,0,0,68827.03
43258,201050,0,1,79935.984
16514,201050,1,0,102518.05
26934,201050,1,0,81110.98
36908,201050,1,0,68730.02
42618,201050,1,0,31757.004
23136,201050,1,0,44149.98
38290,201050,1,0,64175.02
44266,201050,1,0,62032.027
10356,201050,1,0,58520.02
42108,201050,1,1,106801.96
29808,201050,1,0,83949.02
4122,201050,1,1,118689.05
41286,201050,1,0,67704.03
42104,201050,1,0,57273.98
25520,201050,1,0,45601.004
38878,201050,1,1,79516.97
24324,201050,1,0,41127.0
21654,201050,1,0,85333.016
42624,201050,1,1,62093.996
40472,201050,1,0,105016.97
38712,201050,1,0,83765.96
14048,201050,1,1,88954.96
43534,201050,1,1,58691.996
40192,201050,1,1,94634.016
44782,201050,1,0,63747.973
12974,201050,1,0,107739.03
41320,201050,1,1,67262.99
30014,201050,1,0,53659.01
40316,201050,1,0,68550.01
39096,201050,1,1,71509.98
38038,201050,1,0,64118.004
39990,201050,1,0,28061.99
14522,201050,1,0,52570.992
14528,201050,1,0,104418.97
40490,201050,1,1,71993.01
40322,201050,1,0,35638.0
17906,201050,1,1,74394.01
31292,201050,1,1,81130.01
22284,201050,1,0,53139.02
36494,201050,1,0,60410.016
42592,201050,1,0,39936.996
24608,201050,1,0,45352.016
39634,201050,1,0,110820.95
38566,201050,1,1,82475.0
38898,201050,1,0,76746.01
42628,201050,1,1,55219.01
35344,201050,1,0,106419.98
38580,201050,1,1,18022.006
16596,201050,1,0,59629.0
37294,201050,1,0,93435.03
25638,201050,1,0,49650.996
39942,201050,1,0,82994.97
25962,201050,1,0,50507.008
43926,201050,1,0,48787.99
23772,201050,1,0,56269.996
40062,201050,1,1,87799.96
